QUE EL BIEN OS ACOMPAÑE,VASILI GROSSMAN, - 9788417747466  
BREVE HISTORIA DEL EJÉRCITO NAZI,VICENTE MORENO SANZ, - 9788413052380  
EL TITANIC Y OTROS GRANDES NAUFRAGIOS,VICTOR SAN JUAN, - 9788499676371  
EL ÚLTIMO MOGOL,WILLIAM DALRYMPLE, - 9788412381795  
HISTORIA DE LA CONQUISTA DE MÉXICO,WILLIAM H. PRESCOTT, - 9788491141617  
HISTORIA DE LA CONQUISTA DE PERÚ,WILLIAM H. PRESCOTT, - 9788491141792  
EL FRENTE DEL ESTE,XOSE M. NUÑEZ SEIXAS, - 9788491812913  
"ESPAÑA EN DEMOCRACIA, 1975-2011",XOSE M. NUÑEZ SEIXAS, - 9788417067434  
SUSPIROS DE ESPAÑA,XOSE MANOEL NUÑEZ SEIXAS, - 9788491990536  
21 LECCIONES PARA EL SIGLO XXI,YUVAL NOAH HARARI, - 9788499928777  
HOMO DEUS,YUVAL NOAH HARARI, - 9788499926643  
