LA TIENDA DE LA FELICIDAD,ISAAC ROSA, - 9788420454894  
LO QUE ENCONTRÉ BAJO EL SOFÁ,ISABEL SAN SEBASTIAN, - 9788466668675  
EL CRIMEN DE ASUNTA,ISABEL SAN SEBASTIAN, - 9788490602393  
LAS PRIMAS,JACOBO BERGARECHE MENDOZA, - 9789876706391  
LOS COMPASES DEL TIEMPO,JAUME CABRE, - 9788418945373  
LA SONRISA ETRUSCA,JAVIER ALANDES, - 9788466336406  
LO CONTARÁN LAS OLAS,JAVIER ARIAS ARTACHO, - 9788419361363  
DECIR ADIÓS NO ES OLVIDARTE,JAVIER CERCAS, - 9788466673273  
LA VIDA SECRETA DE SYLVIA NOLAN,JAVIER GOMEZ SANTANDER, - 9788423362585  
EN EL OTOÑO DE SUS VIDAS,JAVIER MARIAS, - 9788419485090  
FELIZ DÍA DE AÑO NUEVO,JAVIER MARIAS, - 9788411554251  
UN ELEFANTE BAJO EL PARASOL BLANCO,JAVIER MARIAS, - 9788401029622  
DÍAS GRISES CON CIELO AZUL,JAVIER MARIAS, - 9788401025969  
NUBOSIDAD VARIABLE,JAVIER MARIAS, - 9788433938022  
LA TABLA DE FLANDES,JAVIER MARIAS, - 9788420498928  
EL DISPUTADO VOTO DEL SEÑOR CAYO,JAVIER MARIAS, - 9788423328147  
LA RIDÍCULA IDEA DE NO VOLVER A VERTE,JAVIER MARIAS, - 9788432215803  
SEÑORA DE ROJO SOBRE FONDO GRIS,JAVIER MARIAS, - 9788423328505  
EL CLUB DUMAS,JAVIER MARIAS, - 9788420499260  
LA MUJER DEL DIPLOMÁTICO,JAVIER MORO, - 9788401343544  
EL PRISIONERO DE ZENDA,JAVIER REVERTE, - 9781524314446  
LA EDAD DE LA IRA (NUEVA PRESENTACIÓN),JAVIER SIERRA, - 9788467036763  
EL CAMINO,JAVIER SIERRA, - 9788423354689  
OPERA MAGNA,JERONIMO TRISTANTE, - 9788415828914  
LAS VIUDAS DE LOS JUEVES,JERRY TONER, - 9789870433552  
EL BALCÓN EN INVIERNO,JESSICA GOMEZ, - 9788483839423  
UN HIJO,JESUS CARRASCO, - 9788424655624  
A FLOR DE PIEL,JORDI A. JAUSET, - 9788432224980  
SUEÑO DE UNA NOCHE DE TEATRO,JORDI SIERRA I FABRA, - 9788466669832  
"HOY CAVIAR, MAÑANA SARDINAS",JORGE BROWN GONZALEZ, - 9788408110170  
HISTORIA DE UNA MAESTRA,JORGE JAVIER VAZQUEZ, - 9788420490601  
LOS ENAMORAMIENTOS,JORGE JAVIER VAZQUEZ, - 9788420494722  
LA CUEVA DEL CÍCLOPE,JOSE LUIS OLAIZOLA, - 9788420454788  
FLORES PARA ARIANA,JOSE LUIS SAMPEDRO, - 9788408250586  
ESTACIONES DE PASO,JOSE LUIS SAMPEDRO, - 9788483837177  
TU NOMBRE DESPUÉS DE LA LLUVIA (DREAMING SPIRES 1),JOSE LUIS SAMPEDRO, - 9788426400697  
SIN NOTICIAS DE GURB - GUÍA DE LECTURA,JOSE OSUNA, - 9788432221491  
LAS LARGAS SOMBRAS,JOSEFINA R. ALDECOA, - 9788417167417  
LUGAR SEGURO,JOSEP MARIA DE SAGARRA, - 9788432240621  
MALAVENTURA,JOSU DIAMOND, - 9788418668517  
NADA IMPORTANTE,JOSU DIAMOND, - 9788418870729  
CUENTOS AFILADOS EN NOCHES EXTRAÑAS Y OTRAS PUÑALADAS,JOTA LINARES, - 9788408256373  
LA DAMA DE PANAMÁ,JUAN DEL VAL, - 9788411320207  
MARCELO,JUAN JOSE MILLAS, - 9788418945274  
EL PAZO DE LOURIZÁN,JUAN JOSE MILLAS, - 9788418976278  
DOS COPAS EN SITGES (TRILOGÍA UN CÓCTEL EN CHUECA 2),JUAN JOSE MILLAS, - 9788466672245  
AMIGO,JUAN MANUEL DE PRADA, - 9788423361120  
SUEÑO,JUAN MARSE, - 9788408264620  
LA ESCALA SOCIAL,JUAN MARSE, - 9788419392046  
EL SILENCIO HECHO PALABRA,JUAN MARSE, - 9788411454438  
LOS HOMBRES DE FEDERICO,JUAN TALLON, - 9788419466068  
PROLETARIA CONSENTIDA,JULIA NAVARRO, - 9788417417536  
LA ARAÑA NEGRA (ANNOTATED),JULIA NAVARRO, - 9791221372403  
TOLSTÓI HA MUERTO,JULIA NAVARRO, - 9788432241345  
TODOS LOS NOMBRES DE HELENA,JULIA NAVARRO, - 9788423362189  
EL DÍA QUE ME VAYA NO SE LO DIRÉ A NADIE,JULIA NAVARRO, - 9788433945938  
ESCENAS DE CINE MUDO,JULIO CAMBA, - 9788437644578  
LAS PALABRAS JUSTAS,JULIO CAMBA, - 9788433946058  
LA CAJA DE LOS MIEDOS. PREMIO MONT MARÇAL 2022,JULIO CAMBA, - 9788419283276  
CUENTOS PARA ENTENDER EL MUNDO 2 (EDICIÓN ILUSTRADA CON CONTENIDO EXTRA),LAURA FERNANDEZ, - 9788418050244  
LA NIÑA SANTA,LEON TOLSTOI, - 9788491897385  
SI NO ME ESCUCHAS,LOLA FERNANDEZ PAZOS, - 9788419367860  
LAS DAMAS DE LA TELARAÑA,LOLA P. NIEVA, - 9788435048743  
BUEN LADRÓN,LORENZO SILVA, - 9788491897170  
LA BIBLIOTECA DE FUEGO,LORENZO SILVA, - 9788408257868  
CUANDO ÉRAMOS AYER,LUCIA CHACON, - 9788408256731  
EL CIELO SOBRE CANFRANC,LUIS CHACON DE LA TORRE, - 9788408257875  
