OPCIÓN B,ADAM GRANT, - 9788416883158  
TÚ PUEDES SUPERAR LA DEPRESIÓN,JOHN PRESTON, - 9788491110798  
VIVIR CON PLENITUD LAS CRISIS,JON KABAT ZINN, - 9788499885094  
MINDFULNESS EN LA VIDA COTIDIANA,JON KABAT ZINN, - 9788449333651  
EL PARAÍSO INTERIOR,JORDI NADAL, - 9788416429509  
CUENTOS PARA PENSAR,JORGE BUCAY, - 9788466353847  
EL CAMINO DE LAS LÁGRIMAS,JORGE BUCAY, - 9788425346873  
CÓMO VIVIR DE LAS RENTAS,JOSAN JARQUE, - 9788427047914  
MI AMIGA LA SERPIENTE,JOSE RUIZ, - 9788499448756  
EL LENGUAJE DEL ALMA (E-BOOK),JOSEP SOLER, - 9788484457619  
EL ENTRENADOR MENTAL,JUAN CARLOS ALVAREZ CAMPILLO, - 9788417057190  
CÓMO GESTIONAR TU IRA. APRENDE A CONTROLAR LA FURIA EMOCIONAL,JUANJO RAMOS, - 9783987622618  
EL EVOLUCIONARIO EMERGENTE,JUSTO VALLS PUEYO, - 9788494007484  
LA MAGIA DEL SILENCIO,KANKYO TANNIER, - 9788408177807  
EL LIBRO DE LOS CELOS,KATHY LABRIOLA, - 9788418403033  
AUTOCONTROL,KELLY MCGONIGAL, - 9788499442686  
EL ELEMENTO (PRÓLOGO DE EDUARD PUNSET),KEN ROBINSON, - 9788415431381  
VIAJE A TRAVÉS DEL LIBRO DE EJERCICIOS DE UN CURSO DE MILAGROS. VOLUMEN,KENNETH WAPNICK, - 9788412249835  
SANAR EL CORAZÓN (E-BOOK),KETAN RAVENTOS KLEIN, - 9788484459385  
DE LA CODEPENDENCIA A LA LIBERTAD. CARA A CARA CON EL MIEDO,KRISHNANANDA, - 9788484457947  
EL ÉXITO NO LLEGA POR CASUALIDAD,LAIR RIBEIRO, - 9788417545314  
AUTOAMOR,LAURA CHICA, - 9788403522336  
"GRACIAS, VIDA",LUCIA BE, - 9788419466020  
ERES UNA MADRE MARAVILLOSA,LUCIA GALAN BERTRAND, - 9788408168423  
LA VIDA VA DE ESTO,LUCIA GALAN BERTRAND, - 9788408255383  
OPTIMISMO Y SALUD,LUIS ROJAS MARCOS, - 9788425359637  
FUERA DE SERIE,MALCOLM GLADWELL, - 9788430615513  
TU PROPÓSITO DE VIDA ERES TÚ,MANUEL MARQUEZ, - 9788418620317  
PRIMERO LA ACTITUD,MANUEL RIOS, - 9788835387107  
LA REVOLUCIÓN DE LOS 22 DÍAS,MARCO BORGES, - 9786073147170  
MINDFULNESS Y EQUILIBRIO EMOCIONAL,MARGARET CULLEN, - 9788418000683  
MARIETA DE L'ULL VIU,MARIA XINXO, - 9788418375408  
LA MAGIA DEL ORDEN,MARIE KONDO, - 9786073136525  
LA FELICIDAD EN EL TRABAJO,MARIE KONDO, - 9788403521513  
